날짜,평균기온,최고기온,최저기온,평균운량,일강수량
2019-12-05,-4.4℃,-0.2℃,-8.5℃,0.0,0
2019-12-06,-5.9℃,-1.0℃,-10.6℃,0.6,0
2019-12-07,-2.4℃,1.2℃,-5.5℃,6.6,0.1mm
2019-12-08,-0.9℃,4.9℃,-5.5℃,1.1,0
2019-12-09,3.2℃,8.0℃,-1.3℃,7.9,0.0mm
2019-12-10,8.1℃,10.8℃,6.0℃,8.9,1.7mm
2019-12-11,6.3℃,9.8℃,0.1℃,5.9,0.2mm
2019-12-12,-0.7℃,3.4℃,-3.5℃,0.0,0
2019-12-13,2.1℃,5.9℃,-3.7℃,6.8,1.0mm
2019-12-14,2.7℃,6.4℃,-0.1℃,3.0,0.0mm
2019-12-15,5.3℃,11.0℃,0.4℃,2.9,0
2019-12-16,7.8℃,12.9℃,2.1℃,6.1,0
2019-12-17,7.7℃,10.2℃,3.2℃,8.6,9.8mm
2019-12-18,0.8℃,5.2℃,-1.7℃,3.5,0
2019-12-19,-0.8℃,3.1℃,-4.5℃,1.8,0.0mm
2019-12-20,-1.1℃,2.0℃,-3.5℃,1.4,0.0mm
2019-12-21,-1.2℃,1.5℃,-5.1℃,5.5,0.6mm
2019-12-22,4.1℃,8.4℃,0.3℃,7.8,0.3mm
2019-12-23,3.4℃,5.2℃,0.3℃,6.1,2.9mm
2019-12-24,0.8℃,6.5℃,-2.9℃,0.8,0
2019-12-25,2.0℃,6.6℃,-2.7℃,5.9,0
2019-12-26,2.0℃,4.1℃,-2.4℃,5.4,0.3mm
2019-12-27,-1.7℃,2.6℃,-4.6℃,0.0,0
2019-12-28,1.1℃,6.1℃,-3.6℃,3.5,0
2019-12-29,3.8℃,6.2℃,1.1℃,9.0,1.4mm
2019-12-30,2.7℃,6.8℃,-5.7℃,7.5,0.4mm
2019-12-31,-7.9℃,-4.5℃,-10.9℃,1.3,0.0mm
2020-01-01,-2.2℃,0.3℃,-6.5℃,8.9,0.1mm
2020-01-02,1.0℃,3.8℃,-0.7℃,7.9,0
2020-01-03,-0.1℃,4.6℃,-3.4℃,0.0,0
2020-01-04,1.2℃,6.1℃,-2.8℃,2.1,0
2020-01-05,1.3℃,6.6℃,-3.2℃,3.9,0
2020-01-06,3.1℃,4.6℃,0.6℃,9.8,1.8mm
2020-01-07,6.3℃,7.7℃,4.2℃,10.0,46.3mm
2020-01-08,2.4℃,8.9℃,-0.4℃,9.6,11.6mm
2020-01-09,-1.2℃,2.0℃,-3.1℃,1.6,0
2020-01-10,-0.6℃,4.2℃,-4.3℃,3.1,0
2020-01-11,-0.1℃,3.9℃,-2.6℃,3.6,0
2020-01-12,-1.0℃,2.8℃,-3.5℃,3.6,0
2020-01-13,-2.9℃,0.2℃,-4.7℃,1.4,0
2020-01-14,-2.3℃,2.6℃,-5.7℃,1.0,0
2020-01-15,-2.7℃,2.2℃,-6.4℃,0.1,0
2020-01-16,-1.7℃,3.2℃,-5.5℃,5.0,0
2020-01-17,-0.6℃,4.9℃,-4.8℃,4.8,0
2020-01-18,0.3℃,5.9℃,-4.1℃,2.1,0
2020-01-19,1.9℃,5.3℃,-0.4℃,4.8,0.6mm
2020-01-20,0.7℃,5.5℃,-3.3℃,2.3,0
2020-01-21,-0.4℃,5.5℃,-5.6℃,2.9,0
2020-01-22,3.0℃,7.8℃,-0.1℃,7.8,0
2020-01-23,4.6℃,9.9℃,0.0℃,3.4,0
2020-01-24,2.8℃,7.4℃,-1.3℃,3.0,0
2020-01-25,4.3℃,8.8℃,0.6℃,7.4,0
2020-01-26,5.5℃,11.9℃,-0.2℃,5.8,0
2020-01-27,5.9℃,7.5℃,4.8℃,9.5,0.1mm
2020-01-28,6.8℃,9.9℃,4.3℃,7.3,0.0mm
2020-01-29,6.0℃,9.6℃,3.2℃,6.6,0
2020-01-30,5.2℃,10.4℃,1.4℃,4.0,0
2020-01-31,3.9℃,8.9℃,1.4℃,4.8,0.0mm
2020-02-01,2.6℃,7.6℃,-1.2℃,3.4,0
2020-02-02,1.5℃,5.3℃,-2.1℃,6.1,0
2020-02-03,-0.4℃,3.0℃,-2.9℃,1.5,0.0mm
2020-02-04,-1.6℃,3.9℃,-6.0℃,3.9,1.7mm
2020-02-05,-8.3℃,-4.9℃,-11.0℃,0.0,0
2020-02-06,-6.4℃,0.4℃,-11.8℃,0.9,0
2020-02-07,-1.7℃,2.2℃,-7.2℃,8.9,0.0mm
2020-02-08,-0.1℃,3.7℃,-2.3℃,2.5,0.0mm
2020-02-09,-0.5℃,4.1℃,-5.6℃,2.8,0.0mm
2020-02-10,4.0℃,9.6℃,-0.7℃,1.1,0.0mm
2020-02-11,6.8℃,14.6℃,-0.5℃,2.3,0
2020-02-12,7.4℃,8.2℃,6.5℃,9.9,6.7mm
2020-02-13,6.5℃,8.7℃,4.9℃,9.1,0
2020-02-14,8.1℃,14.7℃,3.2℃,2.1,0
2020-02-15,9.8℃,15.6℃,6.2℃,5.8,2.0mm
2020-02-16,-1.4℃,7.7℃,-4.3℃,8.9,13.4mm
2020-02-17,-5.9℃,-3.9℃,-7.1℃,6.5,1.0mm
2020-02-18,-4.1℃,1.3℃,-8.3℃,0.0,0
2020-02-19,1.0℃,6.4℃,-4.4℃,6.0,0
2020-02-20,4.6℃,10.8℃,-0.6℃,2.5,0
2020-02-21,6.7℃,10.9℃,2.1℃,9.3,4.2mm
2020-02-22,4.0℃,7.9℃,0.0℃,5.9,3.1mm
2020-02-23,2.5℃,8.0℃,-2.5℃,0.9,0
2020-02-24,7.0℃,12.2℃,0.8℃,7.0,0
